Date (M/D/Y),pH,Turbidity,Temperature,Alkalinity,Conductivity,TDS,Chloride,Salinity,DO,BOD5,COD,Ammonia_N,Sulphate,Phosphate,Nitrate_N,Nitrite_N,Fe,Date,Month,Month_Name,Season,WQI_screening,WQI_standard_category,WQI_relative_class
2025-01-01,7.18,202.5,20.5,56.5,1156,578,345.0,0.35,6.65,0.83,36.5,0.69,23.0,0.39,1.24,0.005,1.27,2025-01-01,1,Jan,Winter,1567.9624068098362,Unsuitable,Moderate-relative
2025-01-02,7.21,227.0,19.3,55.0,930,465,275.0,0.24,6.69,0.52,25.6,0.71,19.0,0.75,1.47,0.006,1.65,2025-01-02,1,Jan,Winter,1753.3242832239162,Unsuitable,Moderate-relative
2025-01-03,7.2,220.0,21.0,54.5,422,211,124.0,0.12,6.78,0.43,40.1,0.52,26.0,0.49,1.5,0.008,1.52,2025-01-03,1,Jan,Winter,1699.2042784021364,Unsuitable,Moderate-relative
2025-01-04,7.23,312.0,21.3,56.0,310,155,77.0,0.08,7.03,0.62,18.9,1.08,31.0,0.5,1.46,0.01,1.37,2025-01-04,1,Jan,Winter,2394.6032305923372,Unsuitable,Poor-relative
2025-01-05,7.2,225.0,20.5,56.5,498,249,148.0,0.15,6.99,1.09,,0.97,29.0,0.35,1.38,0.006,1.25,2025-01-05,1,Jan,Winter,1736.3199677311673,Unsuitable,Moderate-relative
2025-01-06,7.22,210.0,21.4,59.5,334,167,79.0,0.08,7.18,0.91,,,,,,,,2025-01-06,1,Jan,Winter,1622.113959051964,Unsuitable,Moderate-relative
2025-01-07,7.25,142.5,20.8,62.0,550,275,137.0,0.14,6.92,1.05,,,,,,,,2025-01-07,1,Jan,Winter,1113.1150254070697,Unsuitable,Good-relative
2025-01-08,7.18,180.0,21.3,55.0,450,225,111.0,0.11,7.01,0.78,,,,,,,,2025-01-08,1,Jan,Winter,1395.3153666407034,Unsuitable,Good-relative
2025-01-09,7.15,165.0,21.3,55.5,579,289,137.0,0.14,6.98,,,,,,,,,2025-01-09,1,Jan,Winter,1281.6207132524762,Unsuitable,Good-relative
2025-01-10,7.2,185.0,20.4,56.0,606,303,148.0,0.15,6.91,,,,,,,,,2025-01-10,1,Jan,Winter,1434.0143355216796,Unsuitable,Good-relative
2025-01-11,7.19,165.0,20.7,57.5,708,354,176.0,0.18,6.88,,,,,,,,,2025-01-11,1,Jan,Winter,1282.7849282296652,Unsuitable,Good-relative
2025-01-12,7.23,180.0,21.8,59.0,700,350,208.0,0.21,6.81,,,,,,,,,2025-01-12,1,Jan,Winter,1397.2524312896408,Unsuitable,Good-relative
2025-01-13,7.25,210.0,21.3,58.0,782,391,232.0,0.23,6.75,,,,,,,,,2025-01-13,1,Jan,Winter,1624.8790883127479,Unsuitable,Moderate-relative
2025-01-14,7.29,195.0,20.5,62.0,776,388,231.0,0.23,6.75,,,,,,,,,2025-01-14,1,Jan,Winter,1511.988883943474,Unsuitable,Good-relative
2025-01-15,7.34,225.0,20.5,62.0,966,483,288.0,0.28,6.69,,,,,,,,,2025-01-15,1,Jan,Winter,1740.2060939876117,Unsuitable,Moderate-relative
2025-01-16,7.21,335.0,21.2,57.5,876,438,261.0,0.26,6.73,,,,,,,,,2025-01-16,1,Jan,Winter,2570.29604057713,Unsuitable,Poor-relative
2025-01-17,7.18,310.0,21.5,60.0,794,397,236.0,0.23,6.57,,,,,,,,,2025-01-17,1,Jan,Winter,2381.2245057675905,Unsuitable,Poor-relative
2025-01-18,7.2,185.0,19.8,56.5,750,375,184.0,0.18,6.94,,,,,,,,,2025-01-18,1,Jan,Winter,1434.0619097956305,Unsuitable,Good-relative
2025-01-19,7.23,165.0,20.5,58.5,518,259,127.0,0.13,7.01,,,,,,,,,2025-01-19,1,Jan,Winter,1282.6506082860428,Unsuitable,Good-relative
2025-01-20,7.28,250.0,20.3,60.0,558,279,138.0,0.14,6.98,,,,,,,,,2025-01-20,1,Jan,Winter,1926.717384370016,Unsuitable,Moderate-relative
2025-01-21,7.35,160.0,19.8,62.5,490,245,121.0,0.12,7.05,,,,,,,,,2025-01-21,1,Jan,Winter,1246.431061533326,Unsuitable,Good-relative
2025-01-22,7.41,117.4,19.5,65.0,618,309,153.0,0.15,6.94,,,,,,,,,2025-01-22,1,Jan,Winter,925.57957419977,Unsuitable,Good-relative
2025-01-23,7.28,105.0,20.3,58.0,364,182,86.0,0.08,7.07,,,,,,,,,2025-01-23,1,Jan,Winter,828.9821557063906,Unsuitable,Good-relative
2025-01-24,7.25,120.0,20.9,59.5,278,139,67.0,0.06,7.1,,,,,,,,,2025-01-24,1,Jan,Winter,941.8331682801082,Unsuitable,Good-relative
2025-01-25,7.29,110.0,19.4,60.0,474,237,115.0,0.11,7.05,,,,,,,,,2025-01-25,1,Jan,Winter,867.1806053187939,Unsuitable,Good-relative
2025-01-26,7.25,135.0,20.7,58.5,606,303,147.0,0.14,6.71,,,,,,,,,2025-01-26,1,Jan,Winter,1057.2288731871963,Unsuitable,Good-relative
2025-01-27,7.29,125.0,20.5,62.0,694,347,171.0,0.17,6.8,,,,,,,,,2025-01-27,1,Jan,Winter,981.9252772523275,Unsuitable,Good-relative
2025-01-28,7.22,205.0,21.3,60.0,848,424,253.0,0.25,6.55,,,,,,,,,2025-01-28,1,Jan,Winter,1587.487737843552,Unsuitable,Moderate-relative
2025-01-29,7.28,235.0,21.0,60.5,914,457,270.0,0.27,6.62,,,,,,,,,2025-01-29,1,Jan,Winter,1815.1753848151036,Unsuitable,Moderate-relative
2025-01-30,7.31,265.0,21.5,64.5,1204,602,356.0,0.35,6.39,,,,,,,,,2025-01-30,1,Jan,Winter,2043.9103390081968,Unsuitable,Moderate-relative
2025-01-31,7.36,225.0,21.7,66.0,1194,597,355.0,0.35,6.45,,,,,,,,,2025-01-31,1,Jan,Winter,1741.7565854382256,Unsuitable,Moderate-relative
2025-02-01,7.26,235.0,21.5,57.5,2073,1037,653.0,0.65,6.49,0.98,45.1,1.23,25.0,0.35,1.09,0.005,1.27,2025-02-01,2,Feb,Winter,1816.9748284559178,Unsuitable,Moderate-relative
2025-02-02,7.21,265.0,22.2,58.0,1783,892,562.0,0.56,6.57,1.08,46.5,1.28,28.0,0.38,1.17,0.008,1.33,2025-02-02,2,Feb,Winter,2042.5295241274434,Unsuitable,Moderate-relative
2025-02-03,7.25,240.0,21.7,54.5,776,388,244.0,0.24,6.8,1.2,33.8,1.31,43.0,0.57,0.92,0.005,1.43,2025-02-03,2,Feb,Winter,1851.6940896109195,Unsuitable,Moderate-relative
2025-02-04,7.18,212.0,20.9,54.5,766,383,241.0,0.24,6.84,0.85,35.9,1.28,35.0,0.62,2.4,0.021,1.65,2025-02-04,2,Feb,Winter,1638.6234765030972,Unsuitable,Moderate-relative
2025-02-05,7.13,205.0,20.5,55.5,548,274,173.0,0.17,6.87,0.9,,1.19,57.0,1.08,1.33,0.013,1.5,2025-02-05,2,Feb,Winter,1584.514489447721,Unsuitable,Moderate-relative
2025-02-06,7.2,142.3,20.9,58.0,396,198,125.0,0.12,7.03,0.76,,,,,,,,2025-02-06,2,Feb,Winter,1110.3129223693486,Unsuitable,Good-relative
2025-02-07,7.15,135.0,21.2,56.5,338,169,106.0,0.11,7.06,0.55,,,,,,,,2025-02-07,2,Feb,Winter,1054.1310021883462,Unsuitable,Good-relative
2025-02-08,7.16,150.0,21.0,55.0,460,230,145.0,0.14,6.9,1.09,,,,,,,,2025-02-08,2,Feb,Winter,1168.5642780312303,Unsuitable,Good-relative
2025-02-09,7.13,115.0,21.5,52.5,646,323,203.0,0.2,7.03,,,,,,,,,2025-02-09,2,Feb,Winter,903.013992433515,Unsuitable,Good-relative
2025-02-10,7.15,135.0,20.6,54.0,1373,687,433.0,0.43,6.8,,,,,,,,,2025-02-10,2,Feb,Winter,1056.5254478691445,Unsuitable,Good-relative
2025-02-11,7.18,130.0,20.9,55.5,1400,700,441.0,0.44,6.8,,,,,,,,,2025-02-11,2,Feb,Winter,1019.1792533659731,Unsuitable,Good-relative
2025-02-12,7.2,165.0,22.1,55.5,1600,819,516.0,0.52,6.77,,,,,,,,,2025-02-12,2,Feb,Winter,1284.7382126033901,Unsuitable,Good-relative
2025-02-13,7.25,190.0,22.5,58.5,1593,797,502.0,0.5,6.69,,,,,,,,,2025-02-13,2,Feb,Winter,1474.9125866993063,Unsuitable,Good-relative
2025-02-14,7.2,195.0,22.8,53.5,1707,853,537.0,0.54,6.65,,,,,,,,,2025-02-14,2,Feb,Winter,1512.2854920069728,Unsuitable,Good-relative
